ErcomSmart : 31.05.2018 15:08:58:  HATA :4026
ErcomSmart : 31.05.2018 15:08:59:  HATA :4300
ErcomSmart : 31.05.2018 15:09:13:  HATA :3378
ErcomSmart : 31.05.2018 15:09:13:  HATA :3382
ErcomSmart : 31.05.2018 15:09:13:  HATA :3378
ErcomSmart : 31.05.2018 15:09:13:  HATA :3382
ErcomSmart : 31.05.2018 15:09:13:  HATA :3378
ErcomSmart : 31.05.2018 15:09:13:  HATA :3382
ErcomSmart : 31.05.2018 15:09:13:  HATA :3378
ErcomSmart : 31.05.2018 15:09:13:  HATA :3382
ErcomSmart : 31.05.2018 15:09:13:  HATA :3399
ErcomSmart : 31.05.2018 15:09:13:  HATA :3403
ErcomSmart : 31.05.2018 15:09:13:  HATA :3399
ErcomSmart : 31.05.2018 15:09:13:  HATA :3403
ErcomSmart : 31.05.2018 15:09:13:  HATA :3399
ErcomSmart : 31.05.2018 15:09:13:  HATA :3403
ErcomSmart : 31.05.2018 15:09:13:  HATA :3399
ErcomSmart : 31.05.2018 15:09:13:  HATA :3403
ErcomSmart : 31.05.2018 15:09:13:  HATA :3406
ErcomSmart : 31.05.2018 15:09:13:  HATA :3412
ErcomSmart : 31.05.2018 15:09:13:  HATA :3416
ErcomSmart : 31.05.2018 15:09:14:  HATA :3378
ErcomSmart : 31.05.2018 15:09:14:  HATA :3382
ErcomSmart : 31.05.2018 15:09:14:  HATA :3378
ErcomSmart : 31.05.2018 15:09:14:  HATA :3382
ErcomSmart : 31.05.2018 15:09:14:  HATA :3388
ErcomSmart : 31.05.2018 15:09:14:  HATA :3392
ErcomSmart : 31.05.2018 15:09:14:  HATA :3399
ErcomSmart : 31.05.2018 15:09:14:  HATA :3403
ErcomSmart : 31.05.2018 15:09:14:  HATA :3399
ErcomSmart : 31.05.2018 15:09:14:  HATA :3403
ErcomSmart : 31.05.2018 15:09:14:  HATA :3406
ErcomSmart : 31.05.2018 15:09:14:  HATA :3412
ErcomSmart : 31.05.2018 15:09:14:  HATA :3416
ErcomSmart : 01.06.2018 11:06:16:  HATA :6064
ErcomSmart : 01.06.2018 14:20:31:  HATA :4118
ErcomSmart : 01.06.2018 14:28:31:  HATA :6064
ErcomSmart : 01.06.2018 15:05:20:  HATA :4101
ErcomSmart : 01.06.2018 15:05:20:  HATA :3063
ErcomSmart : 01.06.2018 15:05:20:  HATA :3013
ErcomSmart : 01.06.2018 15:05:20:  HATA :3014
ErcomSmart : 01.06.2018 15:05:20:  HATA :3015
ErcomSmart : 01.06.2018 15:05:20:  HATA :3016
ErcomSmart : 01.06.2018 15:05:20:  HATA :3018
ErcomSmart : 01.06.2018 15:08:25:  HATA :4101
ErcomSmart : 01.06.2018 15:08:25:  HATA :3063
ErcomSmart : 01.06.2018 15:08:25:  HATA :3013
ErcomSmart : 01.06.2018 15:08:25:  HATA :3014
ErcomSmart : 01.06.2018 15:08:25:  HATA :3015
ErcomSmart : 01.06.2018 15:08:25:  HATA :3016
ErcomSmart : 01.06.2018 15:08:25:  HATA :3018
ErcomSmart : 01.06.2018 15:11:26:  HATA :4101
ErcomSmart : 01.06.2018 15:11:26:  HATA :3063
ErcomSmart : 01.06.2018 15:11:26:  HATA :3013
ErcomSmart : 01.06.2018 15:11:26:  HATA :3014
ErcomSmart : 01.06.2018 15:11:26:  HATA :3015
ErcomSmart : 01.06.2018 15:11:26:  HATA :3016
ErcomSmart : 01.06.2018 15:11:26:  HATA :3018
ErcomSmart : 02.06.2018 10:47:14:  HATA :4101
ErcomSmart : 02.06.2018 10:47:14:  HATA :3063
ErcomSmart : 02.06.2018 10:47:14:  HATA :3013
ErcomSmart : 02.06.2018 10:47:15:  HATA :3014
ErcomSmart : 02.06.2018 10:47:15:  HATA :3015
ErcomSmart : 02.06.2018 10:47:15:  HATA :3016
ErcomSmart : 02.06.2018 10:47:15:  HATA :3018
ErcomSmart : 02.06.2018 10:47:17:  HATA :3291
ErcomSmart : 02.06.2018 10:47:20:  HATA :3073
ErcomSmart : 02.06.2018 10:47:20:  HATA :5004
ErcomSmart : 02.06.2018 10:47:20:  HATA :5005
ErcomSmart : 02.06.2018 10:47:21:  HATA :5088
ErcomSmart : 02.06.2018 10:47:21:  HATA :5102
ErcomSmart : 02.06.2018 10:47:21:  HATA :5106
ErcomSmart : 02.06.2018 10:47:21:  HATA :5111
ErcomSmart : 02.06.2018 10:47:21:  HATA :5088
ErcomSmart : 02.06.2018 10:47:24:  HATA :4300
ErcomSmart : 02.06.2018 10:47:24:  HATA :4304
ErcomSmart : 02.06.2018 10:47:24:  HATA :4305
ErcomSmart : 02.06.2018 10:47:27:  HATA :4025
ErcomSmart : 02.06.2018 10:47:28:  HATA :4300
ErcomSmart : 02.06.2018 15:18:34:  HATA :6000
ErcomSmart : 04.06.2018 15:56:01:  HATA :3497
ErcomSmart : 04.06.2018 16:20:35:  HATA :6000
ErcomSmart : 04.06.2018 16:32:21:  HATA :6064
ErcomSmart : 04.06.2018 16:32:31:  HATA :6018
ErcomSmart : 04.06.2018 16:32:31:  HATA :6064
